City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,novoagansk,61.9449,76.6625,-19.04,96,82,3.91,RU,1700375591
116,aswan,24.0934,32.907,23.44,43,2,5.62,EG,1700375591
117,sanctuary point,-35.1114,150.629,25.67,66,8,8.63,AU,1700375591
118,port alfred,-33.5906,26.891,21.77,89,100,1.34,ZA,1700375592
119,buique,-8.6231,-37.1558,18.07,88,0,1.85,BR,1700375592
120,yuzhno-kurilsk,44.0306,145.8556,5.76,84,54,10.7,RU,1700375593
121,whitehorse,60.7161,-135.0538,-12.57,56,100,5.66,CA,1700375593
122,codrington,-38.2667,141.9667,16.9,66,82,4.88,AU,1700375593
123,thunder bay,48.4001,-89.3168,0.99,60,100,3.09,CA,1700375594
124,dudinka,69.4058,86.1778,-25.77,97,38,3.83,RU,1700375594
125,minas de marcona,-15.2119,-75.1103,13.19,88,82,3.79,PE,1700375595
126,santa cruz,-17.8,-63.1667,30.7,55,75,5.14,BO,1700375595
127,junction city,39.0286,-96.8314,11.89,69,0,1.79,US,1700375595
128,walvis bay,-22.9575,14.5053,17.27,49,0,1.19,NA,1700375596
129,callao,-12.0667,-77.15,18.73,82,0,2.57,PE,1700375491
130,hulan,45.9833,126.6,-1.94,84,6,4.66,CN,1700375597
131,kununurra,-15.7667,128.7333,39.99,27,40,3.09,AU,1700375597
132,jamestown,42.097,-79.2353,5.77,88,0,4.63,US,1700375597
133,lata,40.1629,-8.3327,14.4,91,27,1.27,PT,1700375598
134,kyrenia,35.3417,33.3167,17.75,47,13,14.16,CY,1700375598
135,salalah,17.0151,54.0924,29.05,65,20,1.03,OM,1700375504
136,talnakh,69.4865,88.3972,-26.0,100,91,1.05,RU,1700375598
137,mazatlan,23.2167,-106.4167,26.62,82,0,0.45,MX,1700375599
138,pickering,43.9001,-79.1329,4.15,71,5,5.45,CA,1700375599
139,hauterive,46.0901,3.4459,14.44,80,100,3.09,FR,1700375599
140,siwa oasis,29.2041,25.5195,18.6,47,0,8.64,EG,1700375600
141,tsiombe,-25.3,45.4833,34.38,31,0,1.87,MG,1700375600
142,cabanas,22.9758,-82.9219,24.45,72,100,4.58,CU,1700375601
143,west island,-12.1568,96.8225,27.99,69,100,5.14,CC,1700375601
144,thompson,55.7435,-97.8558,-12.91,85,75,0.0,CA,1700375602
145,tamanrasset,22.785,5.5228,13.95,28,0,3.09,DZ,1700375602
146,punta arenas,-53.15,-70.9167,3.06,60,0,5.66,CL,1700375603
147,georgetown,5.4112,100.3354,32.97,58,20,4.63,MY,1700375603
148,khovd,48.0056,91.6419,2.55,68,90,1.25,MN,1700375554
149,sao vicente,-23.9631,-46.3919,27.1,26,68,0.45,BR,1700375605
150,longyearbyen,78.2186,15.6401,-13.09,72,75,5.66,SJ,1700375605
151,pisco,-13.7,-76.2167,19.03,88,40,1.03,PE,1700375605
152,tha khanon,9.0302,98.9529,31.23,78,95,5.06,TH,1700375605
153,poronaysk,49.2167,143.1167,1.78,74,100,4.04,RU,1700375606
154,borazjan,29.2666,51.2159,23.27,63,100,1.95,IR,1700375606
155,qaqortoq,60.7167,-46.0333,0.08,97,100,2.15,GL,1700375606
156,vilyuchinsk,52.9306,158.4028,2.15,98,100,6.03,RU,1700375606
157,talcahuano,-36.7167,-73.1167,8.82,93,0,1.54,CL,1700375606
158,westerstede,53.25,7.9333,12.31,89,96,7.54,DE,1700375607
159,hamilton,39.1834,-84.5333,4.43,82,0,2.06,US,1700375491
160,insar,53.8653,44.3738,-5.65,71,4,2.03,RU,1700375607
161,karachi,24.9056,67.0822,25.9,31,0,3.6,PK,1700375569
162,dosso,13.049,3.1937,24.63,22,94,3.57,NE,1700375608
163,severo-yeniseyskiy,60.3725,93.0408,-3.57,94,100,2.68,RU,1700375608
164,egilsstadir,65.2653,-14.3948,1.95,93,75,3.6,IS,1700375609
165,troitsko-pechorsk,62.7084,56.1964,-9.06,93,100,3.13,RU,1700375609
166,plettenberg bay,-34.0527,23.3716,20.85,56,100,3.28,ZA,1700375609
167,brookings,44.3114,-96.7984,4.65,77,0,1.54,US,1700375610
168,capinzal,-27.3436,-51.6119,14.57,98,92,1.03,BR,1700375610
169,rongelap,11.1635,166.8941,28.04,78,100,7.67,MH,1700375610
170,vinh long,10.25,105.9667,29.99,56,74,2.99,VN,1700375377
171,kotel'nich,58.3089,48.348,-6.1,73,28,3.89,RU,1700375611
172,east end,34.5507,-92.341,10.79,48,5,0.89,US,1700375611
173,lebu,-37.6167,-73.65,9.17,90,23,2.2,CL,1700375611
174,mana,5.6592,-53.7767,25.37,93,12,3.52,GF,1700375612
